date (month, day, year): 04-15-2013

magnetic field (T): 0.000000
frequency SR830: 912.400000
oscillator amplitude SR830: 0.200000
harmonic SR830: 2
time, Rcernox1, RCernox2, TCernox1, TCernox2, SR830-R, SR830-Phase, SR830-X, SR830-Y 
9.000000e-03 7.194280e+03 0.000000e+00 3.913425e+00 0.000000e+00 1.101950e-04 -9.456000e+00 1.086977e-04 -1.810395e-05  
4.400000e-02 7.195070e+03 0.000000e+00 3.913141e+00 0.000000e+00 1.101950e-04 -9.456000e+00 1.086977e-04 -1.810395e-05  
6.320000e-01 7.197170e+03 0.000000e+00 3.912386e+00 0.000000e+00 1.101950e-04 -9.456000e+00 1.086977e-04 -1.810395e-05  
1.254000e+00 7.198560e+03 0.000000e+00 3.911887e+00 0.000000e+00 1.102090e-04 -9.450000e+00 1.087134e-04 -1.809487e-05  
1.862000e+00 7.200010e+03 0.000000e+00 3.911366e+00 0.000000e+00 1.102240e-04 -9.450000e+00 1.087282e-04 -1.809733e-05  
2.452000e+00 7.202140e+03 0.000000e+00 3.910602e+00 0.000000e+00 1.102320e-04 -9.450000e+00 1.087361e-04 -1.809864e-05  
3.037000e+00 7.203580e+03 0.000000e+00 3.910085e+00 0.000000e+00 1.102540e-04 -9.456000e+00 1.087559e-04 -1.811365e-05  
3.625000e+00 7.204610e+03 0.000000e+00 3.909716e+00 0.000000e+00 1.102620e-04 -9.456000e+00 1.087638e-04 -1.811496e-05  
4.236000e+00 7.205450e+03 0.000000e+00 3.909415e+00 0.000000e+00 1.102690e-04 -9.462000e+00 1.087688e-04 -1.812750e-05  
4.803000e+00 7.206100e+03 0.000000e+00 3.909182e+00 0.000000e+00 1.102770e-04 -9.462000e+00 1.087767e-04 -1.812882e-05  
5.451000e+00 7.206770e+03 0.000000e+00 3.908942e+00 0.000000e+00 1.102910e-04 -9.462000e+00 1.087905e-04 -1.813112e-05  
6.029000e+00 7.207380e+03 0.000000e+00 3.908723e+00 0.000000e+00 1.102990e-04 -9.462000e+00 1.087984e-04 -1.813243e-05  
6.666000e+00 7.208100e+03 0.000000e+00 3.908465e+00 0.000000e+00 1.103060e-04 -9.462000e+00 1.088053e-04 -1.813358e-05  
7.314000e+00 7.208710e+03 0.000000e+00 3.908247e+00 0.000000e+00 1.103060e-04 -9.468000e+00 1.088034e-04 -1.814498e-05  
7.949000e+00 7.209270e+03 0.000000e+00 3.908046e+00 0.000000e+00 1.103210e-04 -9.474000e+00 1.088163e-04 -1.815884e-05  
